http://ontosoft.org/software#Software,http://www.w3.org/2000/01/rdf-schema#label,description,http://ontosoft.org/software#hasSoftwareVersion,http://ontosoft.org/software#hasInput,http://ontosoft.org/software#hasOutput,,
ldas2cycles,Script designed to transform LDAS data into a format acceptable by Cycles,,,mint_config;cycles_config;ldas_weather_data,cycles_weather,,
ldas2pihm,Script designed to transform LDAS data into a format acceptable by PIHM,,,mint_config;ldas_weather_data;pihm_aggr_files;fldas2pihm_r,pihm_forc,,
ldas2pihm2,Script designed to transform LDAS data into a format acceptable by PIHM (extended variables exposed),,,mint_config;ldas_weather_data;pihm_aggr_files;fldas2pihm_r,pihm_forc2,,
pihm2cycles,Script designed to transform PIHM results into Cycles,,,mint_config;pihm_aggregatedOutput;cycles_config,cycles_reinit,,
ldasDataDownload,Script designed to retrieve and download data from LDAS,,,ldas_inputQuery;mint_config,ldas_weather_data,,
cycles2crop,Scripts designed to convert cycles outputs into a format acceptable by the economic model,,,cycles_aggregatedOutput,econ_yield_input,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
CYCLES_TO_ECON,Cycles to economic,,,cycles_to_econ_1.0,Cycles_to_econ calculates the yield elasticity under increased fertilizer uses from cycles for use in the aggregate crop supply response model,Agriculture;Economic,The model assumes a 10% increase in fertilizer use compared to the baseline cycles run.
PIHM_TO_CYCLES,Pihm to cycles transformation code,,,pihm_to_cyles_1.0,Code that moves the output of pihm into cycle,Hydrology;Agriculture,
